,User_Id,Place_Id,Place_Ratings
0,1,45,3
1,1,94,2
2,1,79,5
3,1,47,3
4,1,70,4
5,1,117,2
6,1,99,5
7,1,130,4
8,1,97,2
9,1,85,5
10,1,45,3
11,1,44,5
12,1,38,3
13,1,126,5
14,1,138,5
15,1,88,4
16,1,140,4
17,1,131,3
18,1,114,3
19,1,116,2
20,1,68,3
21,1,27,3
22,1,81,4
23,1,26,5
24,1,61,2
25,1,96,2
26,1,104,4
27,1,82,2
28,1,58,2
29,1,41,2
30,2,79,2
31,2,29,5
32,2,126,4
33,2,90,3
34,2,84,4
35,2,109,3
36,2,22,5
37,2,120,2
38,2,116,2
39,2,139,2
40,2,95,3
41,2,43,2
42,2,46,5
43,2,51,2
44,2,135,3
45,2,86,5
46,2,63,5
47,2,78,4
48,2,74,3
49,2,35,2
50,2,96,2
51,2,67,5
52,2,36,4
53,2,108,2
54,2,111,2
55,2,37,2
56,2,56,5
57,2,43,3
58,2,108,3
59,3,79,5
60,3,125,5
61,3,117,5
62,3,87,3
63,3,73,3
64,3,137,5
65,3,88,2
66,3,63,3
67,3,41,3
68,3,77,2
69,3,116,2
70,3,135,2
71,3,107,3
72,3,105,4
73,3,60,2
74,3,79,4
75,3,125,5
76,3,55,3
77,3,48,4
78,3,63,2
79,3,63,2
80,3,37,2
81,3,60,3
82,3,100,4
83,3,65,5
84,3,129,3
85,3,113,3
86,3,60,3
87,3,77,4
88,3,22,5
89,4,105,2
90,4,112,2
91,4,138,4
92,4,108,4
93,4,48,3
94,4,98,5
95,4,42,3
96,4,42,3
97,4,80,4
98,4,138,3
99,4,130,5
100,4,73,4
101,4,65,3
102,4,56,5
103,4,53,3
104,4,21,2
105,4,55,5
106,4,84,3
107,4,26,2
108,4,138,2
109,4,62,3
110,4,35,5
111,4,58,5
112,4,42,5
113,4,31,2
114,4,124,2
115,5,50,4
116,5,69,2
117,5,79,5
118,5,69,2
119,5,72,4
120,5,36,3
121,5,139,5
122,5,63,5
123,5,58,4
124,5,83,5
125,5,131,3
126,5,40,5
127,5,32,3
128,5,65,3
129,5,97,3
130,5,121,2
131,5,43,5
132,5,73,2
133,5,43,3
134,5,118,2
135,5,123,4
136,5,25,2
137,5,119,4
138,5,131,2
139,5,73,4
140,5,35,4
141,5,85,3
142,5,32,3
143,5,31,4
144,5,99,2
145,5,29,3
146,5,47,3
147,5,134,3
148,6,67,4
149,6,91,2
150,6,135,2
151,6,135,2
152,6,25,3
153,6,56,3
154,6,112,2
155,6,122,5
156,6,46,4
157,6,82,5
158,6,106,2
159,6,85,5
160,6,43,5
161,6,35,5
162,6,48,2
163,6,128,4
164,6,130,4
165,6,106,5
166,6,113,5
167,6,84,5
168,6,86,2
169,6,101,2
170,6,73,4
171,6,86,3
172,6,135,2
173,6,144,5
174,6,134,4
175,6,101,2
176,7,33,5
177,7,114,3
178,7,90,3
179,7,36,3
180,7,109,5
181,7,41,5
182,7,118,4
183,7,105,5
184,7,76,4
185,7,35,4
186,7,51,3
187,7,33,3
188,7,107,5
189,7,121,4
190,7,131,4
191,7,52,3
192,7,71,2
193,7,145,5
194,7,49,4
195,7,95,4
196,7,121,3
197,7,99,4
198,7,108,4
199,7,119,5
200,7,70,5
201,7,118,2
202,7,27,3
203,8,78,5
204,8,139,3
205,8,81,2
206,8,88,5
207,8,63,4
208,8,66,5
209,8,24,4
210,8,120,2
211,8,60,3
212,8,59,2
213,8,52,5
214,8,66,5
215,8,90,3
216,8,52,4
217,8,34,5
218,8,108,3
219,8,22,5
220,8,84,2
221,8,78,3
222,8,137,5
223,8,63,2
224,8,63,5
225,8,80,4
226,8,104,3
227,8,32,2
228,8,140,3
229,8,145,3
230,8,36,4
231,9,127,3
232,9,113,4
233,9,22,4
234,9,75,4
235,9,65,3
236,9,99,5
237,9,132,3
238,9,71,2
239,9,137,4
240,9,120,4
241,9,34,4
242,9,110,3
243,9,131,3
244,9,26,5
245,9,41,3
246,9,144,3
247,9,57,3
248,9,103,4
249,9,44,4
250,9,124,4
251,9,80,4
252,9,91,3
253,9,62,5
254,9,117,4
255,9,100,5
256,9,102,4
257,9,70,5
258,9,21,2
259,9,59,5
260,9,68,2
261,9,140,5
262,9,129,2
263,9,28,5
264,10,56,3
265,10,112,4
266,10,139,5
267,10,91,2
268,10,80,5
269,10,47,4
270,10,140,4
271,10,127,5
272,10,114,3
273,10,65,5
274,10,76,3
275,10,98,5
276,10,144,5
277,10,52,4
278,10,145,5
279,10,134,5
280,10,115,3
281,10,62,3
282,10,27,3
283,10,47,3
284,10,37,4
285,10,82,3
286,10,140,3
287,10,100,2
288,10,141,2
289,10,31,2
290,10,122,5
291,10,45,4
292,11,110,2
293,11,25,2
294,11,95,3
295,11,66,3
296,11,38,3
297,11,34,5
298,11,81,5
299,11,34,2
300,11,103,4
301,11,60,2
302,11,37,4
303,11,110,3
304,11,39,4
305,11,91,2
306,11,101,4
307,11,59,4
308,11,33,4
309,11,111,3
310,11,127,2
