User_Id,Place_Id,Place_Ratings
1,56,3
1,55,2
1,50,5
1,74,3
1,53,4
1,52,2
1,53,5
1,70,4
1,45,2
1,83,5
1,79,3
1,71,5
1,62,3
1,63,5
1,59,5
1,44,4
1,55,4
1,79,3
1,85,3
1,64,2
1,67,3
1,84,3
1,49,4
1,87,5
1,59,2
1,43,2
1,41,4
1,64,2
1,54,2
1,44,2
2,41,2
2,75,5
2,85,4
2,80,3
2,57,4
2,69,3
2,59,5
2,69,2
2,70,2
2,70,2
2,67,3
2,51,2
2,45,5
2,61,2
2,65,3
2,75,5
2,87,5
2,43,4
2,44,3
2,77,2
2,52,2
2,86,5
2,72,4
2,53,2
2,67,2
2,57,2
2,63,5
2,74,3
2,84,3
3,87,5
3,66,5
3,59,5
3,57,3
3,83,3
3,68,5
3,73,2
3,49,3
3,55,3
3,69,2
3,67,2
3,70,2
3,44,3
3,43,4
3,84,2
3,70,4
3,42,5
3,70,3
3,65,4
3,85,2
3,64,2
3,69,2
3,81,3
3,81,4
3,41,5
3,47,3
3,59,3
3,41,3
3,63,4
3,70,5
4,52,2
4,62,2
4,44,4
4,66,4
4,80,3
4,57,5
4,53,3
4,70,3
4,61,4
4,66,3
4,42,5
4,64,4
4,59,3
4,44,5
4,43,3
4,55,2
4,73,5
4,44,3
4,81,2
4,48,2
4,79,3
4,67,5
4,54,5
4,74,5
4,77,2
4,74,2
5,82,4
5,41,2
5,82,5
5,78,2
5,45,4
5,47,3
5,65,5
5,58,5
5,64,4
5,80,5
5,70,3
5,44,5
5,50,3
5,79,3
5,87,3
5,45,2
5,59,5
5,81,2
5,68,3
5,43,2
5,78,4
5,48,2
5,62,4
5,66,2
5,51,4
5,56,4
5,87,3
5,77,3
5,53,4
5,43,2
5,62,3
5,76,3
5,70,3
6,44,4
6,46,2
6,49,2
6,74,2
6,71,3
6,46,3
6,61,2
6,56,5
6,77,4
6,43,5
6,83,2
6,67,5
6,70,5
6,85,5
6,42,2
6,68,4
6,76,4
6,79,5
6,67,5
6,57,5
6,57,2
6,60,2
6,44,4
6,80,3
6,71,2
6,63,5
6,63,4
6,75,2
7,84,5
7,71,3
7,68,3
7,77,3
7,42,5
7,54,5
7,71,4
7,73,5
7,68,4
7,46,4
7,44,3
7,68,3
7,71,5
7,55,4
7,46,4
7,73,3
7,85,2
7,72,5
7,87,4
7,77,4
7,43,3
7,75,4
7,50,4
7,60,5
7,53,5
7,77,2
7,49,3
8,77,5
8,56,3
8,43,2
8,66,5
8,71,4
8,53,5
8,62,4
8,41,2
8,46,3
8,62,2
8,84,5
8,68,5
8,46,3
8,63,4
8,52,5
8,80,3
8,44,5
8,58,2
8,66,3
8,74,5
8,43,2
8,72,5
8,82,4
8,43,3
8,83,2
8,48,3
8,44,3
8,54,4
9,52,3
9,78,4
9,84,4
9,53,4
9,70,3
9,62,5
9,68,3
9,46,2
9,65,4
9,55,4
9,78,4
9,87,3
9,85,3
9,67,5
9,59,3
9,73,3
9,56,3
9,69,4
9,52,4
9,73,4
9,45,4
9,74,3
9,51,5
9,66,4
9,76,5
9,79,4
9,81,5
9,75,2
9,81,5
9,83,2
9,45,5
9,43,2
9,64,5
10,54,3
10,44,4
10,53,5
10,45,2
10,61,5
10,79,4
10,83,4
10,66,5
10,53,3
10,47,5
10,61,3
10,57,5
10,54,5
10,52,4
10,68,5
10,79,5
10,82,3
10,48,3
10,48,3
10,55,3
10,67,4
10,52,3
10,67,3
