,User_Id,Place_Id,Place_Ratings
0,1,56,3
1,1,15,2
2,1,18,5
3,1,13,3
4,1,1,4
5,1,1,2
6,1,32,5
7,1,19,4
8,1,32,2
9,1,2,5
10,1,40,3
11,1,36,5
12,1,5,3
13,1,14,5
14,1,7,5
15,1,53,4
16,1,42,4
17,1,54,3
18,1,52,3
19,1,47,2
20,1,27,3
21,1,22,3
22,1,26,4
23,1,46,5
24,1,44,2
25,1,40,2
26,1,26,4
27,1,37,2
28,1,59,2
29,1,40,2
30,2,44,2
31,2,20,5
32,2,3,4
33,2,16,3
34,2,24,4
35,2,8,3
36,2,30,5
37,2,51,2
38,2,49,2
39,2,44,2
40,2,52,3
41,2,46,2
42,2,23,5
43,2,13,2
44,2,58,3
45,2,23,5
46,2,36,5
47,2,23,4
48,2,36,3
49,2,7,2
50,2,52,2
51,2,13,5
52,2,58,4
53,2,55,2
54,2,9,2
55,2,14,2
56,2,14,5
57,2,36,3
58,2,55,3
59,3,57,5
60,3,22,5
61,3,23,5
62,3,17,3
63,3,1,3
64,3,7,5
65,3,59,2
66,3,58,3
67,3,7,3
68,3,15,2
69,3,57,2
70,3,4,2
71,3,22,3
72,3,8,4
73,3,11,2
74,3,47,4
75,3,13,5
76,3,22,3
77,3,22,4
78,3,16,2
79,3,48,2
80,3,58,2
81,3,23,3
82,3,46,4
83,3,25,5
84,3,11,3
85,3,43,3
86,3,29,3
87,3,54,4
88,3,48,5
89,4,46,2
90,4,16,2
91,4,31,4
92,4,44,4
93,4,55,3
94,4,5,5
95,4,36,3
96,4,31,3
97,4,41,4
98,4,16,3
99,4,10,5
100,4,22,4
101,4,24,3
102,4,48,5
103,4,1,3
104,4,31,2
105,4,21,5
106,4,16,3
107,4,4,2
108,4,41,2
109,4,26,3
110,4,18,5
111,4,41,5
112,4,42,5
113,4,35,2
114,4,44,2
115,5,1,4
116,5,16,2
117,5,50,5
118,5,34,2
119,5,50,4
120,5,36,3
121,5,21,5
122,5,20,5
123,5,29,4
124,5,5,5
125,5,14,3
126,5,1,5
127,5,41,3
128,5,42,3
129,5,36,3
130,5,37,2
131,5,38,5
132,5,50,2
133,5,23,3
134,5,11,2
135,5,15,4
136,5,9,2
137,5,58,4
138,5,8,2
139,5,3,4
140,5,42,4
141,5,20,3
142,5,21,3
143,5,2,4
144,5,11,2
145,5,55,3
146,5,13,3
147,5,28,3
148,6,2,4
149,6,16,2
150,6,5,2
151,6,1,2
152,6,29,3
153,6,14,3
154,6,18,2
155,6,39,5
156,6,56,4
157,6,14,5
158,6,1,2
159,6,35,5
160,6,3,5
161,6,46,5
162,6,45,2
163,6,24,4
164,6,39,4
165,6,7,5
166,6,39,5
167,6,31,5
168,6,50,2
169,6,2,2
170,6,41,4
171,6,2,3
172,6,53,2
173,6,5,5
174,6,21,4
175,6,16,2
176,7,38,5
177,7,47,3
178,7,44,3
179,7,43,3
180,7,20,5
181,7,40,5
182,7,16,4
183,7,35,5
184,7,34,4
185,7,42,4
186,7,7,3
187,7,44,3
188,7,29,5
189,7,27,4
190,7,31,4
191,7,59,3
192,7,37,2
193,7,16,5
194,7,35,4
195,7,43,4
196,7,25,3
197,7,2,4
198,7,26,4
199,7,39,5
200,7,5,5
201,7,49,2
202,7,5,3
203,8,18,5
204,8,11,3
205,8,26,2
206,8,3,5
207,8,30,4
208,8,20,5
209,8,9,4
210,8,12,2
211,8,12,3
212,8,30,2
213,8,2,5
214,8,34,5
215,8,5,3
216,8,2,4
217,8,15,5
218,8,19,3
219,8,35,5
220,8,20,2
221,8,36,3
222,8,57,5
223,8,21,2
224,8,6,5
225,8,24,4
226,8,7,3
227,8,23,2
228,8,26,3
229,8,52,3
230,8,41,4
231,9,52,3
232,9,37,4
233,9,16,4
234,9,20,4
235,9,26,3
236,9,26,5
237,9,52,3
238,9,26,2
239,9,17,4
240,9,26,4
241,9,51,4
242,9,33,3
243,9,49,3
244,9,22,5
245,9,47,3
246,9,44,3
247,9,53,3
248,9,11,4
249,9,46,4
250,9,41,4
